2025-06-11 02:26:48,495 - Starting indexing process
2025-06-11 02:26:54,353 - Use pytorch device_name: mps
2025-06-11 02:26:54,353 - Load pretrained SentenceTransformer: sentence-transformers/all-MiniLM-L6-v2
2025-06-11 02:27:27,116 - No documents found to index
2025-06-11 02:31:09,059 - Starting indexing process
2025-06-11 02:31:14,892 - Use pytorch device_name: mps
2025-06-11 13:35:05,149 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,149 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,149 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,150 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,153 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,154 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,155 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,156 - Indexed chunk from legal_documents/Karnataka Land Reforms Act, 1961.pdf (Taluk: Mysuru, Pincode: 570001)
2025-06-11 13:35:05,622 - Anonymized telemetry enabled. See                     https://docs.trychroma.com/telemetry for more information.
2025-06-11 13:35:10,655 - Vector database initialized successfully
